Team,IP Starters,IP Relievers,Bullpen %,Win % (As of 4/4)
Philadelphia Phillies,283,195.2,0.4081974069,0.34
San Diego Padres,306.2,196.2,0.3905254777,0.404
San Francisco GIants,352.1,163,0.316443409,0.404
Miami Marlins,279.2,201.1,0.4186966479,0.426
Atlanta Braves,300.1,174.1,0.3671446647,0.434
Oakland Athletics,298.1,182.2,0.3793462419,0.436
New York Mets,293,202,0.4080808081,0.444
Kansas City ROyals,303.2,179.2,0.3714759536,0.444
Chicago White Sox,299.1,175.1,0.3692534795,0.444
Pittsburgh Pirates,308.1,195,0.3875968992,0.446
Cincinatti Reds,269,218.1,0.4477520016,0.463
Texas Rangers,320.1,176.1,0.3548972189,0.464
Seattle Mariners,302,204,0.4031620553,0.474
Toronto Blue Jays,301,204.1,0.4040784003,0.482
Detroit Tigers,320.2,163,0.3373344371,0.491
St Louis Cardinals,323,164.2,0.3370279146,0.491
Los Angeles Angels,331.2,195.1,0.370701121,0.492
Chicago Cubs,296.1,191.2,0.3923660989,0.5
Tampa Bay Rays,327.2,194,0.3722179586,0.5
Milwaukee Brewers,301.2,205.2,0.4052132701,0.518
Cleveland Indians,314.1,161.1,0.3390151515,0.519
Baltimore Orioles,292,194.2,0.3994241053,0.537
Minnesota Twins,287.1,182.2,0.388237801,0.538
Boston Red Sox,326.2,163,0.3331970564,0.545
Arizona DiamondBacks,345.1,173.2,0.3341694,0.586
Colorado Rockies,333.1,187,0.3595462411,0.603
New York Yankees,306.2,169.1,0.3557752998,0.604
Los Angeles Dodgers,316,196,0.3828125,0.614
Washington Nationals,334,150.2,0.3102023957,0.63
Houston Astros,322,185.1,0.365016762,0.714
