Team,bullpenPercent,winPercent
San Diego Padres,0.3905254777,0.404
San Francisco Giants,0.316443409,0.404
Miami Marlins,0.4186966479,0.426
Atlanta Braves,0.3671446647,0.434
Oakland Athletics,0.3793462419,0.436
New York Mets,0.4080808081,0.444
Kansas City ROyals,0.3714759536,0.444
Chicago White Sox,0.3692534795,0.444
Pittsburgh Pirates,0.3875968992,0.446
Cincinatti Reds,0.4477520016,0.463
Texas Rangers,0.3548972189,0.464
Seattle Mariners,0.4031620553,0.474
Toronto Blue Jays,0.4040784003,0.482
Detroit Tigers,0.3373344371,0.491
St Louis Cardinals,0.3370279146,0.491
Los Angeles Angels,0.370701121,0.492
Chicago Cubs,0.3923660989,0.5
Tampa Bay Rays,0.3722179586,0.5
Milwaukee Brewers,0.4052132701,0.518
Cleveland Indians,0.3390151515,0.519
Baltimore Orioles,0.3994241053,0.537
Minnesota Twins,0.388237801,0.538
Boston Red Sox,0.3331970564,0.545
Arizona DiamondBacks,0.3341694,0.586
Colorado Rockies,0.3595462411,0.603
New York Yankees,0.3557752998,0.604
Los Angeles Dodgers,0.3828125,0.614
Washington Nationals,0.3102023957,0.63
Houston Astros,0.365016762,0.714
Philadelphia Phillies,0.4081974069,0.34
