Breed,Weight,Median Lifespan
Affenpinscher,9.85,11.4
Airedale, 48.5, 11.5
Malamute,85,10.7
American Staffordshire,50,12
American Foxhound,63,11
Australian Cattle Dog,57.5,13
Basenji,24,13
Bernese Mountain Dog,100,7.5
Bichon,15,16
Black and Tan Coonhound,57.5,11
Brussels Griffon,9,12.5
English Bulldog,50,6
Bull Mastiff,110,7.5
Chinese Crested,12,14
Cocker Spaniel,26,11
Dachsund,16,12.7
Doberman,93.5,10.5
Dogue de Bordeaux,150,6.5
German Shepherd,77,11
Great Dane,145,8
Great Pyrenees,120,10.5
Irish WolfHound,120,7
Japanese Chin,9,12.5
Leonberger,145,7
Lhasa Apso,16.5,13
Maltese,5.5,13.5
Mastiff,150,7
Miniature Pinscher,9,13
Miniature Schnauzer,14.5,13
Newfoundland,159.5,9
Papillon,9,13.5
Shih Tzu,10,13
Siberian Husky,62.5,12
Vizsla,55,9.5
