Team,shortName,starterIP,relieverIP,bullpenPercent,winPercent
San Diego Padres,SDP,306.2,196.2,0.3905254777,0.404
San Francisco Giants,SF,352.1,163,0.316443409,0.404
Miami Marlins,MIA,279.2,201.1,0.4186966479,0.426
Atlanta Braves,ATL,300.1,174.1,0.3671446647,0.434
Oakland Athletics,OAK,298.1,182.2,0.3793462419,0.436
New York Mets,NUM,293,202,0.4080808081,0.444
Kansas City ROyals,KC,303.2,179.2,0.3714759536,0.444
Chicago White Sox,CWS,299.1,175.1,0.3692534795,0.444
Pittsburgh Pirates,PIT,308.1,195,0.3875968992,0.446
Cincinatti Reds,CIN,269,218.1,0.4477520016,0.463
Texas Rangers,TEX,320.1,176.1,0.3548972189,0.464
Seattle Mariners,SEA,302,204,0.4031620553,0.474
Toronto Blue Jays,TOR,301,204.1,0.4040784003,0.482
Detroit Tigers,DET,320.2,163,0.3373344371,0.491
St Louis Cardinals,STL,323,164.2,0.3370279146,0.491
Los Angeles Angels,LAA,331.2,195.1,0.370701121,0.492
Chicago Cubs,CHC,296.1,191.2,0.3923660989,0.5
Tampa Bay Rays,TB,327.2,194,0.3722179586,0.5
Milwaukee Brewers,MIL,301.2,205.2,0.4052132701,0.518
Cleveland Indians,CLI,314.1,161.1,0.3390151515,0.519
Baltimore Orioles,BAL,292,194.2,0.3994241053,0.537
Minnesota Twins,MIN,287.1,182.2,0.388237801,0.538
Boston Red Sox,BOS,326.2,163,0.3331970564,0.545
Arizona DiamondBacks,AZ,345.1,173.2,0.3341694,0.586
Colorado Rockies,COR,333.1,187,0.3595462411,0.603
New York Yankees,NYY,306.2,169.1,0.3557752998,0.604
Los Angeles Dodgers,LAD,316,196,0.3828125,0.614
Washington Nationals,WAS,334,150.2,0.3102023957,0.63
Houston Astros,HOU,322,185.1,0.365016762,0.714
Philadelphia Phillies,PHI,283,195.2,0.4081974069,0.34
